Time (s),ESC A (µs),Servo A (µs),ESC B (µs),Servo B (µs),Torque A (N·m),Thrust A (N),Voltage A (V),Current A (A),Motor Optical Speed A (RPM),Electrical Power A (W),Mechanical Power A (W),Motor Efficiency A (%),Propeller Mech. Efficiency A (N/W),Overall Efficiency A (N/W),Torque B (N·m),Thrust B (N),Voltage B (V),Current B (A),Motor Optical Speed B (RPM),Electrical Power B (W),Mechanical Power B (W),Motor Efficiency B (%),Propeller Mech. Efficiency B (N/W),Overall Efficiency B (N/W),Torque A+B (N·m),Thrust A+B (N),Electrical Power A+B (W),Load Cell 0 A (raw),Load Cell 1 A (raw),Load Cell 2 A (raw),Load Cell 3 A (raw),Load Cell 4 A (raw),Load Cell 5 A (raw),Burst Current Cutoff A (A),Load Cell 0 B (raw),Load Cell 1 B (raw),Load Cell 2 B (raw),Load Cell 3 B (raw),Load Cell 4 B (raw),Load Cell 5 B (raw),Burst Current Cutoff B (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message
1.008175,1000,,1175.0,,0,0,0,0,0,0,0,0,0,0,0.367645874,4.316195935,49.67124962,2.121724115,1118.71246052,105.3886881,43.07019020924459,40.86794416529471,0.10021306880770567,0.040955021,0.367645874,-4.316195935,105.3886881,0,0,0,0,0,0,0,-0.069044948,-0.128960013,-0.085211635,-0.121968031,0.032676458,0.055924535,0.748466886,1,0,0,0,0,0,0,0,
1.104075,1000,,1175.0,,0,0,0,0,0,0,0,0,0,0,0.349867477,4.425310297,49.67107548,2.120829834,1118.71246052,105.3438988,40.987427979182236,38.90821247939443,0.10796750406606734,0.042008226,0.349867477,-4.425310297,105.3438988,0,0,0,0,0,0,0,-0.069615245,-0.129658937,-0.084417701,-0.122021556,0.032064795,0.056058288,0.789427371,1,0,0,0,0,0,0,0,
1.175255,1000,,1175.0,,0,0,0,0,0,0,0,0,0,0,0.341905183,4.477455496,49.67099957,2.115366231,1118.71246052,105.0723552,40.05463492658858,38.12100228489842,0.11178370503703756,0.042613069,0.341905183,-4.477455496,105.0723552,0,0,0,0,0,0,0,-0.068828583,-0.129542112,-0.084902763,-0.121658564,0.031236768,0.055919528,0.818095616,1,1,0,0,0,0,0,0,
1.258265,1000,,1175.0,,0,0,0,0,0,0,0,0,0,0,0.333462981,4.515498186,49.67115727,2.101085369,1118.71246052,104.3633418,39.06562003035485,37.43231996654485,0.11558752126528027,0.043267091,0.333462981,-4.515498186,104.3633418,0,0,0,0,0,0,0,-0.070056915,-0.129416466,-0.083879232,-0.122063518,0.032043099,0.056415915,0.851012167,1,0,0,0,0,0,0,0,
1.330995,1000,,1175.0,,0,0,0,0,0,0,0,0,0,0,0.330110726,4.532890309,49.67090284,2.105947477,1118.71246052,104.6043125,38.67289901621969,36.9706545475548,0.1172110295403216,0.043333685,0.330110726,-4.532890309,104.6043125,0,0,0,0,0,0,0,-0.069104314,-0.129558921,-0.084784389,-0.121716499,0.031229854,0.055894732,0.879271376,1,0,0,0,0,0,0,0,
1.40237,1000,,1175.0,,0,0,0,0,0,0,0,0,0,0,0.328705514,4.534753842,49.67055518,2.111046362,1118.71246052,104.8568448,38.50827661078963,36.72461886893399,0.11776049829063001,0.043247094,0.328705514,-4.534753842,104.8568448,0,0,0,0,0,0,0,-0.069206953,-0.129299521,-0.084460378,-0.121960998,0.031977057,0.0559479,0.907248603,1,0,0,0,0,0,0,0,
1.47504,1000,,1175.0,,0,0,0,0,0,0,0,0,0,0,0.32743859,4.540072088,49.67021417,2.116527936,1118.71246052,105.1283959,38.35985482363078,36.48857617890352,0.11835477764121212,0.043185973,0.32743859,-4.540072088,105.1283959,0,0,0,0,0,0,0,-0.068592429,-0.129813552,-0.084518671,-0.122125268,0.031531096,0.0553689,0.932958815,1,0,0,0,0,0,0,0,
1.536795,1000,,1175.0,,0,0,0,0,0,0,0,0,0,0,0.329941671,4.541548349,49.66980609,2.124030374,1118.71246052,105.5001768,38.65309400405783,36.63794239637504,0.11749507939838465,0.04304778,0.329941671,-4.541548349,105.5001768,0,0,0,0,0,0,0,-0.068708897,-0.129563212,-0.085296154,-0.121899009,0.03166914,0.055334449,0.9577205,1,1,0,0,0,0,0,0,
1.60799,1000,,1175.0,,0,0,0,0,0,0,0,0,0,0,0.32890407,4.541248145,49.66989521,2.11875416,1118.71246052,105.2382971,38.53153770330277,36.61360813040253,0.11785795261969892,0.043152049,0.32890407,-4.541248145,105.2382971,0,0,0,0,0,0,0,-0.069201469,-0.129304767,-0.08452034,-0.122279048,0.032025099,0.055807352,0.983340216,1,0,0,0,0,0,0,0,
1.702405,1000,,1175.0,,0,0,0,0,0,0,0,0,0,0,0.326022586,4.543531381,49.67024836,2.102439118,1118.71246052,104.4286732,38.19396812142601,36.57421563546783,0.11895939606367255,0.043508466,0.326022586,-4.543531381,104.4286732,0,0,0,0,0,0,0,-0.068597436,-0.129157662,-0.08532536,-0.121532559,0.032106757,0.055934668,1.015401483,1,1,0,0,0,0,0,0,
